date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:31	131/131	---M--	200	added ('OK')	text/plain	date:Sun,%2019%20Sep%202021%2013:00:30%20GMT	https://www.dartfordlabourparty.org.uk/robots.txt		(from )
14:00:31	40566/40566	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2013:00:30%20GMT	https://www.dartfordlabourparty.org.uk/	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/index.html	(from )
14:00:31	21267/21267	---M--	200	added ('OK')	image/png	etag:%225afd4a6d-5313%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons//ms-icon-144x144.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/ms-icon-144x144.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:31	6212/6212	---M--	200	added ('OK')	image/png	etag:%225afd4a6d-1844%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-57x57.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-57x57.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:31	6596/6596	---M--	200	added ('OK')	image/png	etag:%225afd4a6d-19c4%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-60x60.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-60x60.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:32	8266/8266	---M--	200	added ('OK')	image/png	etag:%225afd4a6d-204a%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-72x72.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-72x72.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:32	8801/8801	---M--	200	added ('OK')	image/png	etag:%225afd4a6d-2261%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-76x76.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-76x76.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:32	15153/15153	---M--	200	added ('OK')	image/png	etag:%225afd4a6d-3b31%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-114x114.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-114x114.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:32	16326/16326	---M--	200	added ('OK')	image/png	etag:%225afd4a6d-3fc6%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-120x120.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-120x120.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:32	21267/21267	---M--	200	added ('OK')	image/png	etag:%225afd4a6d-5313%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-144x144.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-144x144.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:33	23264/23264	---M--	200	added ('OK')	image/png	etag:%225afd4a6d-5ae0%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-152x152.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-152x152.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:33	30992/30992	---M--	200	added ('OK')	image/png	etag:%225afd4a6d-7910%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-180x180.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/apple-icon-180x180.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:33	31554/31554	---M--	200	added ('OK')	image/png	etag:%225afd4a6d-7b42%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/android-icon-192x192.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/android-icon-192x192.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:33	3107/3107	---M--	200	added ('OK')	image/png	etag:%225afd4a6d-c23%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/favicon-32x32.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/favicon-32x32.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:34	11945/11945	---M--	200	added ('OK')	image/png	etag:%225afd4a6d-2ea9%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/favicon-96x96.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/favicon-96x96.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:34	1516/1516	---M--	200	added ('OK')	image/png	etag:%225afd4a6d-5ec%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/favicon-16x16.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/favicon-16x16.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:34	11945/11945	---M--	200	added ('OK')	image/png	etag:%225afd4a6d-2ea9%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/favicon.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/favicon.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:34	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Sep%202021%2013:00:34%20GMT	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/manifest.json	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/manifest.json	(from https://www.dartfordlabourparty.org.uk/)
14:00:34	51356/51356	---MCZ	200	added ('OK')	text/css	etag:W/%2260352d25-c89c%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/compiled/app.min.css	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/compiled/app.min.css	(from https://www.dartfordlabourparty.org.uk/)
14:00:35	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2019%20Sep%202021%2013:00:35%20GMT	https://www.dartfordlabourparty.org.uk/xmlrpc.php	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/xmlrpc.php	(from https://www.dartfordlabourparty.org.uk/)
14:00:35	80574/80574	---MCZ	200	added ('OK')	text/css	etag:W/%2260f4cdd9-13abe%22	https://www.dartfordlabourparty.org.uk/wp-includes/css/dist/block-library/style.min.css?ver=5.8	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-includes/css/dist/block-library/style.min41a3.css	(from https://www.dartfordlabourparty.org.uk/)
14:00:35	1372/1372	---MCZ	200	added ('OK')	application/json	date:Sun,%2019%20Sep%202021%2013:00:35%20GMT	https://www.dartfordlabourparty.org.uk/wp-json/wp/v2/pages/5	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-json/wp/v2/pages/5.json	(from https://www.dartfordlabourparty.org.uk/)
14:00:35	128156/128156	---MCZ	200	added ('OK')	application/json	date:Sun,%2019%20Sep%202021%2013:00:35%20GMT	https://www.dartfordlabourparty.org.uk/wp-json/	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-json/index.html	(from https://www.dartfordlabourparty.org.uk/)
14:00:36	894/894	---MCZ	200	added ('OK')	text/xml	date:Sun,%2019%20Sep%202021%2013:00:36%20GMT	https://www.dartfordlabourparty.org.uk/xmlrpc.php?rsd	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/xmlrpc0db0.php	(from https://www.dartfordlabourparty.org.uk/)
